,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
1499,ESPORTSTMNT04_2665017,1,0.6951,0.109822,-3081.0,0.0,0.0,0.0,2.0,0.0,0.0,0.167,0.497,0.492,3.252,1.415,-2346.0,32.7927,-17.0,246.593
2710,ESPORTSTMNT04_2665208,1,0.5784,0.057343,295.0,1.0,0.0,0.0,6.0,1.0,0.0,0.5,0.508,0.568,4.4435,1.8142,204.0,34.5486,5.0,250.938
24599,ESPORTSTMNT02_3162295,1,0.63,0.079139,1931.0,1.0,0.0,1.0,6.0,0.0,0.0,0.2,0.503,0.578,0.0,1.6632,-563.0,33.4397,-10.0,245.67
26230,ESPORTSTMNT02_3164479,1,0.8475,0.0554239,240.0,0.0,0.0,1.0,7.0,1.0,0.0,0.667,0.499,0.529,0.0,2.2933,665.0,32.8043,17.0,263.053
2722,ESPORTSTMNT04_2664200,0,0.4229,-0.00736445,-501.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.495,0.524,3.489,2.0352,-674.0,34.7313,2.0,212.738
11494,ESPORTSTMNT03_3103041,1,0.5189,0.138654,3137.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.54,0.543,3.9326,2.294,932.0,35.3664,10.0,265.742
2302,ESPORTSTMNT04_2664171,0,0.4665,-0.0741358,-2778.0,0.0,0.0,1.0,2.0,0.0,0.0,0.333,0.514,0.549,3.6285,1.7624,-567.0,34.3413,14.0,196.188
35159,ESPORTSTMNT03_3120628,0,0.4988,-0.0684105,-3484.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2,0.48,0.479,4.6282,1.8568,-1950.0,35.5289,-38.0,216.599
36575,ESPORTSTMNT06_2775338,0,0.655,-0.0587615,-354.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.517,0.477,3.7589,1.7655,-776.0,36.5354,16.0,211.934
25847,ESPORTSTMNT02_3163072,1,0.5769,-0.0633614,-1504.0,0.0,0.0,0.0,4.0,1.0,0.0,0.5,0.508,0.543,0.0,2.3339,-302.0,33.8024,-7.0,236.659
32458,ESPORTSTMNT03_3117109,0,0.3851,-0.107026,-2253.0,0.0,0.0,0.0,3.0,0.0,1.0,0.2,0.488,0.535,3.4403,1.7972,-806.0,34.0693,18.0,182.454
38783,ESPORTSTMNT03_3127378,0,0.6905,-0.140019,-2579.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.497,0.423,3.2992,1.7903,71.0,32.6854,11.0,208.88
54154,ESPORTSTMNT02_3187760,1,0.8782,-0.0360525,2209.0,1.0,1.0,1.0,5.0,1.0,1.0,0.667,0.506,0.5,3.8924,1.7563,-298.0,31.2816,0.0,251.041
15083,ESPORTSTMNT01_3309043,0,0.4427,-0.138329,-2249.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.507,0.494,3.724,1.7448,-180.0,33.0729,4.0,173.0
31655,ESPORTSTMNT03_3114711,0,0.486,-0.0757773,-648.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4,0.496,0.487,3.5644,2.7273,-790.0,34.2934,2.0,189.818
42263,ESPORTSTMNT01_3324554,0,0.5589,-0.051598,-3437.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333,0.483,0.467,3.548,1.6282,-519.0,31.2515,8.0,187.3
42622,ESPORTSTMNT01_3324646,0,0.797,-0.0242151,1833.0,0.0,1.0,1.0,4.0,1.0,0.0,0.4,0.518,0.478,3.2163,1.9924,-215.0,35.9772,8.0,225.831
